OCCUR_DATE,OCCUR_TIME,BORO,LOC_CLASSFCTN_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,VIC_AGE_GROUP,VIC_SEX,Low_income_Housing_Mean,Households_Receiving_Benefits_Mean,Poverty_Rate_Median,Income_Median
03/12/2009,04:06:00,MANHATTAN,unknown,False,25-44,M,25-44,M,4036,699,0.144,45959
04/22/2007,05:02:00,BROOKLYN,unknown,True,unknown,unknown,18-24,M,2670,838,0.221,25924
03/17/2021,22:09:00,BRONX,unknown,True,<18,M,18-24,F,2494,931,0.264,19487
08/25/2012,06:00:00,BROOKLYN,unknown,False,18-24,M,25-44,M,2670,838,0.221,25924
10/05/2011,15:00:00,QUEENS,unknown,False,18-24,M,18-24,M,566,466,0.1965,28627
10/05/2014,03:45:00,BRONX,unknown,False,18-24,M,18-24,M,2494,931,0.264,19487
08/08/2012,22:30:00,QUEENS,unknown,False,18-24,M,25-44,M,566,466,0.1965,28627
05/09/2014,04:42:00,BRONX,unknown,True,25-44,M,25-44,M,2494,931,0.264,19487
09/17/2010,20:53:00,BRONX,unknown,False,<18,M,18-24,M,2494,931,0.264,19487
09/25/2012,11:08:00,MANHATTAN,unknown,False,unknown,unknown,18-24,M,4036,699,0.144,45959
06/22/2015,05:24:00,MANHATTAN,unknown,False,18-24,M,18-24,M,4036,699,0.144,45959
07/04/2020,02:55:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
08/31/2013,19:25:00,BROOKLYN,unknown,False,25-44,M,45-64,M,2670,838,0.221,25924
08/08/2013,23:30:00,BRONX,unknown,False,18-24,M,25-44,M,2494,931,0.264,19487
02/19/2019,22:27:00,BROOKLYN,unknown,False,25-44,M,45-64,M,2670,838,0.221,25924
05/28/2007,23:59:00,BROOKLYN,unknown,False,unknown,M,45-64,M,2670,838,0.221,25924
11/24/2018,21:40:00,BRONX,unknown,True,unknown,unknown,45-64,F,2494,931,0.264,19487
08/27/2017,02:12:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
09/14/2017,12:53:00,BRONX,unknown,False,25-44,M,25-44,M,2494,931,0.264,19487
11/18/2016,01:10:00,QUEENS,unknown,False,18-24,M,18-24,M,566,466,0.1965,28627
08/16/2008,23:12:00,BROOKLYN,unknown,False,18-24,M,25-44,M,2670,838,0.221,25924
08/11/2020,16:44:00,BRONX,unknown,False,unknown,unknown,18-24,M,2494,931,0.264,19487
07/04/2007,02:25:00,QUEENS,unknown,False,unknown,unknown,18-24,M,566,466,0.1965,28627
05/19/2009,19:30:00,BRONX,unknown,False,unknown,unknown,18-24,M,2494,931,0.264,19487
02/24/2013,02:00:00,QUEENS,unknown,True,18-24,M,25-44,M,566,466,0.1965,28627
07/22/2009,06:15:00,BROOKLYN,unknown,True,unknown,unknown,25-44,M,2670,838,0.221,25924
07/03/2008,15:29:00,BRONX,unknown,False,<18,M,<18,M,2494,931,0.264,19487
08/20/2007,17:50:00,BRONX,unknown,False,25-44,M,25-44,M,2494,931,0.264,19487
05/26/2012,02:28:00,BRONX,unknown,False,18-24,M,18-24,M,2494,931,0.264,19487
09/01/2016,12:29:00,BROOKLYN,unknown,True,unknown,unknown,18-24,M,2670,838,0.221,25924
